dteday,cnt
2011-06-04,5342
2011-06-05,4906
2011-06-06,4548
2011-06-07,4833
2011-06-08,4401
2011-06-09,3915
2011-06-10,4586
2011-06-11,4966
2011-06-12,4460
2011-06-13,5020
2011-06-14,4891
2011-06-15,5180
2011-06-16,3767
2011-06-17,4844
2011-06-18,5119
2011-06-19,4744
2011-06-20,4010
2011-06-21,4835
2011-06-22,4507
2011-06-23,4790
2011-06-24,4991
2011-06-25,5202
2011-06-26,5305
2011-06-27,4708
2011-06-28,4648
2011-06-29,5225
2011-06-30,5515
2011-07-01,5362
2011-07-02,5119
2011-07-03,4649
2011-07-04,6043
2011-07-05,4665
2011-07-06,4629
2011-07-07,4592
2011-07-08,4040
2011-07-09,5336
2011-07-10,4881
2011-07-11,4086
2011-07-12,4258
2011-07-13,4342
2011-07-14,5084
2011-07-15,5538
2011-07-16,5923
2011-07-17,5302
2011-07-18,4458
2011-07-19,4541
2011-07-20,4332
2011-07-21,3784
2011-07-22,3387
2011-07-23,3285
2011-07-24,3606
2011-07-25,3840
2011-07-26,4590
2011-07-27,4656
2011-07-28,4390
2011-07-29,3846
2011-07-30,4475
2011-07-31,4302
2011-08-01,4266
2011-08-02,4845
2011-08-03,3574
2011-08-04,4576
2011-08-05,4866
2011-08-06,4294
2011-08-07,3785
2011-08-08,4326
2011-08-09,4602
2011-08-10,4780
2011-08-11,4792
2011-08-12,4905
2011-08-13,4150
2011-08-14,3820
2011-08-15,4338
2011-08-16,4725
2011-08-17,4694
2011-08-18,3805
2011-08-19,4153
2011-08-20,5191
2011-08-21,3873
2011-08-22,4758
2011-08-23,5895
2011-08-24,5130
2011-08-25,3542
2011-08-26,4661
2011-08-27,1115
2011-08-28,4334
2011-08-29,4634
2011-08-30,5204
2011-08-31,5058
2011-09-01,5115
2011-09-02,4727
2011-09-03,4484
2011-09-04,4940
2011-09-05,3351
2011-09-06,2710
2011-09-07,1996
2011-09-08,1842
2011-09-09,3544
2011-09-10,5345
2011-09-11,5046
2011-09-12,4713
2011-09-13,4763
2011-09-14,4785
2011-09-15,3659
2011-09-16,4760
2011-09-17,4511
2011-09-18,4274
2011-09-19,4539
2011-09-20,3641
2011-09-21,4352
2011-09-22,4795
2011-09-23,2395
2011-09-24,5423
2011-09-25,5010
2011-09-26,4630
2011-09-27,4120
2011-09-28,3907
2011-09-29,4839
2011-09-30,5202
2011-10-01,2429
2011-10-02,2918
2011-10-03,3570
2011-10-04,4456
2011-10-05,4826
2011-10-06,4765
2011-10-07,4985
2011-10-08,5409
2011-10-09,5511
2011-10-10,5117
2011-10-11,4563
2011-10-12,2416
2011-10-13,2913
2011-10-14,3644
2011-10-15,5217
2011-10-16,5041
2011-10-17,4570
2011-10-18,4748
2011-10-19,2424
2011-10-20,4195
2011-10-21,4304
2011-10-22,4308
2011-10-23,4381
2011-10-24,4187
2011-10-25,4687
2011-10-26,3894
2011-10-27,2659
2011-10-28,3747
2011-10-29,627
2011-10-30,3331
2011-10-31,3669
2011-11-01,4068
2011-11-02,4186
2011-11-03,3974
2011-11-04,4046
2011-11-05,3926
2011-11-06,3649
2011-11-07,4035
2011-11-08,4205
2011-11-09,4109
2011-11-10,2933
2011-11-11,3368
2011-11-12,4067
2011-11-13,3717
2011-11-14,4486
2011-11-15,4195
2011-11-16,1817
2011-11-17,3053
2011-11-18,3392
2011-11-19,3663
2011-11-20,3520
2011-11-21,2765
2011-11-22,1607
2011-11-23,2566
2011-11-24,1495
2011-11-25,2792
2011-11-26,3068
2011-11-27,3071
2011-11-28,3867
2011-11-29,2914
2011-11-30,3613
2011-12-01,3727
2011-12-02,3940
2011-12-03,3614
2011-12-04,3485
2011-12-05,3811
2011-12-06,2594
2011-12-07,705
2011-12-08,3322
2011-12-09,3620
2011-12-10,3190
2011-12-11,2743
2011-12-12,3310
2011-12-13,3523
2011-12-14,3740
2011-12-15,3709
2011-12-16,3577
2011-12-17,2739
2011-12-18,2431
2011-12-19,3403
2011-12-20,3750
2011-12-21,2660
2011-12-22,3068
2011-12-23,2209
2011-12-24,1011
2011-12-25,754
2011-12-26,1317
2011-12-27,1162
2011-12-28,2302
2011-12-29,2423
2011-12-30,2999
2011-12-31,2485
