instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
2405,2011-04-15,2,0,4,2,1,5,0,1,0.4,0.4091,0.76,0.0,8,10,18
2406,2011-04-15,2,0,4,3,1,5,0,1,0.4,0.4091,0.76,0.0,0,3,3
2407,2011-04-15,2,0,4,4,1,5,0,1,0.38,0.3939,0.82,0.0896,0,3,3
2408,2011-04-15,2,0,4,5,1,5,0,1,0.36,0.3636,0.81,0.1045,2,11,13
2409,2011-04-15,2,0,4,6,1,5,0,1,0.36,0.3636,0.81,0.0896,5,42,47
2410,2011-04-15,2,0,4,7,1,5,0,1,0.4,0.4091,0.71,0.1642,10,139,149
2411,2011-04-15,2,0,4,8,1,5,0,1,0.44,0.4394,0.62,0.2985,21,279,300
2412,2011-04-15,2,0,4,9,1,5,0,1,0.5,0.4848,0.55,0.194,16,162,178
2413,2011-04-15,2,0,4,10,1,5,0,1,0.5,0.4848,0.55,0.194,31,91,122
2414,2011-04-15,2,0,4,11,1,5,0,1,0.52,0.5,0.55,0.194,41,95,136
2415,2011-04-15,2,0,4,12,1,5,0,1,0.52,0.5,0.55,0.2836,45,155,200
2416,2011-04-15,2,0,4,13,1,5,0,1,0.54,0.5152,0.52,0.2537,47,133,180
2417,2011-04-15,2,0,4,14,1,5,0,1,0.54,0.5152,0.52,0.2537,57,106,163
2418,2011-04-15,2,0,4,15,1,5,0,1,0.54,0.5152,0.52,0.4478,50,112,162
2419,2011-04-15,2,0,4,16,1,5,0,1,0.52,0.5,0.55,0.4925,70,173,243
2420,2011-04-15,2,0,4,17,1,5,0,2,0.5,0.4848,0.63,0.3881,64,267,331
2421,2011-04-15,2,0,4,18,1,5,0,2,0.46,0.4545,0.67,0.3881,47,216,263
2422,2011-04-15,2,0,4,19,1,5,0,1,0.42,0.4242,0.77,0.3881,41,168,209
2423,2011-04-15,2,0,4,20,1,5,0,2,0.4,0.4091,0.76,0.3284,26,92,118
2424,2011-04-15,2,0,4,21,1,5,0,2,0.4,0.4091,0.76,0.2985,25,77,102
2425,2011-04-15,2,0,4,22,1,5,0,2,0.38,0.3939,0.82,0.3881,16,64,80
2426,2011-04-15,2,0,4,23,1,5,0,2,0.36,0.3485,0.81,0.194,8,56,64
3483,2011-05-30,2,0,5,0,1,1,0,1,0.64,0.5606,0.94,0.194,38,65,103
3484,2011-05-30,2,0,5,1,1,1,0,1,0.64,0.5606,0.94,0.1343,26,53,79
3485,2011-05-30,2,0,5,2,1,1,0,1,0.64,0.5606,0.94,0.194,17,28,45
3486,2011-05-30,2,0,5,3,1,1,0,1,0.64,0.5606,0.94,0.194,10,8,18
3487,2011-05-30,2,0,5,4,1,1,0,1,0.62,0.5455,0.94,0.1642,2,4,6
3488,2011-05-30,2,0,5,5,1,1,0,2,0.62,0.5455,0.94,0.1045,1,6,7
3489,2011-05-30,2,0,5,6,1,1,0,2,0.64,0.5606,0.94,0.0896,6,10,16
3490,2011-05-30,2,0,5,7,1,1,0,2,0.64,0.5606,0.94,0.0,12,19,31
3491,2011-05-30,2,0,5,8,1,1,0,2,0.66,0.5909,0.89,0.1045,36,58,94
3492,2011-05-30,2,0,5,9,1,1,0,1,0.72,0.697,0.74,0.0896,47,81,128
3493,2011-05-30,2,0,5,10,1,1,0,1,0.8,0.7576,0.55,0.2537,116,153,269
3494,2011-05-30,2,0,5,11,1,1,0,1,0.82,0.7727,0.52,0.0,153,168,321
3495,2011-05-30,2,0,5,12,1,1,0,1,0.86,0.803,0.47,0.1045,179,187,366
3496,2011-05-30,2,0,5,13,1,1,0,1,0.86,0.7879,0.44,0.0896,133,217,350
3497,2011-05-30,2,0,5,14,1,1,0,1,0.88,0.803,0.39,0.0,142,185,327
3498,2011-05-30,2,0,5,15,1,1,0,1,0.88,0.803,0.39,0.2537,132,179,311
3499,2011-05-30,2,0,5,16,1,1,0,1,0.88,0.7879,0.37,0.2836,101,208,309
3500,2011-05-30,2,0,5,17,1,1,0,1,0.86,0.7879,0.41,0.2239,102,202,304
3501,2011-05-30,2,0,5,18,1,1,0,1,0.86,0.7879,0.41,0.1642,77,172,249
3502,2011-05-30,2,0,5,19,1,1,0,2,0.52,0.5,0.48,0.1045,68,157,225
3503,2011-05-30,2,0,5,20,1,1,0,1,0.76,0.7121,0.58,0.0,69,168,237
3504,2011-05-30,2,0,5,21,1,1,0,1,0.74,0.697,0.7,0.1343,42,107,149
3505,2011-05-30,2,0,5,22,1,1,0,1,0.72,0.697,0.74,0.1642,26,80,106
3506,2011-05-30,2,0,5,23,1,1,0,1,0.7,0.6667,0.84,0.1045,14,34,48
4323,2011-07-04,3,0,7,0,1,1,0,1,0.64,0.5758,0.83,0.1343,63,77,140
4324,2011-07-04,3,0,7,1,1,1,0,1,0.64,0.5758,0.83,0.0896,43,76,119
4325,2011-07-04,3,0,7,2,1,1,0,1,0.64,0.5758,0.83,0.0,33,30,63
4326,2011-07-04,3,0,7,3,1,1,0,1,0.64,0.5909,0.78,0.0,13,13,26
4327,2011-07-04,3,0,7,4,1,1,0,2,0.66,0.6061,0.78,0.0896,8,4,12
4328,2011-07-04,3,0,7,5,1,1,0,2,0.64,0.5758,0.83,0.1343,1,3,4
4329,2011-07-04,3,0,7,6,1,1,0,1,0.64,0.5758,0.89,0.1642,5,11,16
4330,2011-07-04,3,0,7,7,1,1,0,1,0.66,0.6061,0.83,0.1343,17,19,36
4331,2011-07-04,3,0,7,8,1,1,0,1,0.7,0.6667,0.74,0.1045,42,44,86
4332,2011-07-04,3,0,7,9,1,1,0,2,0.72,0.6818,0.66,0.0896,142,96,238
4333,2011-07-04,3,0,7,10,1,1,0,2,0.76,0.697,0.55,0.0896,166,114,280
4334,2011-07-04,3,0,7,11,1,1,0,2,0.76,0.697,0.55,0.0896,177,172,349
4335,2011-07-04,3,0,7,12,1,1,0,2,0.78,0.7121,0.52,0.0,237,210,447
4336,2011-07-04,3,0,7,13,1,1,0,2,0.78,0.7121,0.49,0.0,242,181,423
4337,2011-07-04,3,0,7,14,1,1,0,1,0.8,0.7273,0.46,0.0,235,173,408
4338,2011-07-04,3,0,7,15,1,1,0,1,0.82,0.7424,0.43,0.0896,224,184,408
4339,2011-07-04,3,0,7,16,1,1,0,1,0.82,0.7424,0.41,0.0,236,216,452
4340,2011-07-04,3,0,7,17,1,1,0,1,0.8,0.7273,0.46,0.0,240,196,436
4341,2011-07-04,3,0,7,18,1,1,0,1,0.8,0.7273,0.46,0.1343,222,196,418
4342,2011-07-04,3,0,7,19,1,1,0,2,0.78,0.7121,0.49,0.1642,170,205,375
4343,2011-07-04,3,0,7,20,1,1,0,2,0.76,0.697,0.55,0.1045,195,191,386
4344,2011-07-04,3,0,7,21,1,1,0,2,0.74,0.6818,0.62,0.1045,195,262,457
4345,2011-07-04,3,0,7,22,1,1,0,2,0.74,0.6818,0.62,0.1343,115,211,326
4346,2011-07-04,3,0,7,23,1,1,0,2,0.72,0.6818,0.7,0.1045,44,94,138
5822,2011-09-05,3,0,9,0,1,1,0,2,0.7,0.6667,0.74,0.2239,31,66,97
5823,2011-09-05,3,0,9,1,1,1,0,2,0.68,0.6364,0.79,0.1045,19,35,54
5824,2011-09-05,3,0,9,2,1,1,0,2,0.68,0.6364,0.79,0.1642,17,22,39
5825,2011-09-05,3,0,9,3,1,1,0,2,0.68,0.6364,0.74,0.2985,4,12,16
5826,2011-09-05,3,0,9,4,1,1,0,2,0.68,0.6364,0.69,0.2836,3,5,8
5827,2011-09-05,3,0,9,5,1,1,0,2,0.66,0.6212,0.74,0.1642,2,4,6
5828,2011-09-05,3,0,9,6,1,1,0,2,0.66,0.6212,0.74,0.1343,6,5,11
5829,2011-09-05,3,0,9,7,1,1,0,1,0.66,0.6212,0.74,0.1642,11,30,41
5830,2011-09-05,3,0,9,8,1,1,0,2,0.66,0.6061,0.78,0.194,45,56,101
5831,2011-09-05,3,0,9,9,1,1,0,3,0.68,0.6364,0.74,0.1642,63,89,152
5832,2011-09-05,3,0,9,10,1,1,0,2,0.7,0.6515,0.7,0.1642,107,137,244
5833,2011-09-05,3,0,9,11,1,1,0,2,0.7,0.6667,0.74,0.1642,101,207,308
5834,2011-09-05,3,0,9,12,1,1,0,2,0.72,0.6818,0.7,0.194,141,212,353
5835,2011-09-05,3,0,9,13,1,1,0,2,0.74,0.697,0.7,0.1343,154,235,389
5836,2011-09-05,3,0,9,14,1,1,0,1,0.74,0.697,0.7,0.1642,145,212,357
5837,2011-09-05,3,0,9,15,1,1,0,2,0.68,0.6364,0.79,0.2836,111,142,253
5838,2011-09-05,3,0,9,16,1,1,0,2,0.68,0.6364,0.79,0.2836,92,192,284
5839,2011-09-05,3,0,9,17,1,1,0,2,0.66,0.5909,0.89,0.1045,37,77,114
5840,2011-09-05,3,0,9,18,1,1,0,1,0.66,0.5909,0.89,0.0896,31,92,123
5841,2011-09-05,3,0,9,19,1,1,0,3,0.66,0.5909,0.94,0.1045,52,123,175
5842,2011-09-05,3,0,9,20,1,1,0,3,0.66,0.5909,0.94,0.2537,26,56,82
5843,2011-09-05,3,0,9,21,1,1,0,2,0.66,0.5909,0.94,0.2985,20,40,60
5844,2011-09-05,3,0,9,22,1,1,0,2,0.6,0.5455,0.88,0.5821,15,49,64
5845,2011-09-05,3,0,9,23,1,1,0,3,0.56,0.5303,0.88,0.3881,3,17,20
6659,2011-10-10,4,0,10,0,1,1,0,1,0.5,0.4848,0.94,0.0,11,42,53
6660,2011-10-10,4,0,10,1,1,1,0,1,0.48,0.4697,0.88,0.0,4,30,34
6661,2011-10-10,4,0,10,2,1,1,0,1,0.48,0.4697,0.88,0.0,4,15,19
6662,2011-10-10,4,0,10,3,1,1,0,1,0.46,0.4545,0.88,0.0,2,9,11
6663,2011-10-10,4,0,10,4,1,1,0,1,0.46,0.4545,0.94,0.0,2,4,6
6664,2011-10-10,4,0,10,5,1,1,0,1,0.46,0.4545,0.94,0.0,2,19,21
6665,2011-10-10,4,0,10,6,1,1,0,1,0.44,0.4394,0.94,0.0,5,39,44
6666,2011-10-10,4,0,10,7,1,1,0,1,0.46,0.4545,0.88,0.0,12,102,114
6667,2011-10-10,4,0,10,8,1,1,0,1,0.52,0.5,0.83,0.0,27,227,254
6668,2011-10-10,4,0,10,9,1,1,0,1,0.54,0.5152,0.77,0.0,58,161,219
6669,2011-10-10,4,0,10,10,1,1,0,1,0.56,0.5303,0.73,0.1642,107,158,265
6670,2011-10-10,4,0,10,11,1,1,0,1,0.62,0.6061,0.69,0.0896,139,183,322
6671,2011-10-10,4,0,10,12,1,1,0,2,0.7,0.6515,0.48,0.0896,164,201,365
6672,2011-10-10,4,0,10,13,1,1,0,1,0.72,0.6515,0.37,0.0,146,219,365
6673,2011-10-10,4,0,10,14,1,1,0,1,0.74,0.6515,0.37,0.0,147,223,370
6674,2011-10-10,4,0,10,15,1,1,0,2,0.72,0.6515,0.42,0.1045,130,254,384
6675,2011-10-10,4,0,10,16,1,1,0,2,0.7,0.6364,0.45,0.0896,154,248,402
6676,2011-10-10,4,0,10,17,1,1,0,2,0.66,0.6212,0.54,0.1045,125,334,459
6677,2011-10-10,4,0,10,18,1,1,0,2,0.64,0.6212,0.53,0.0,108,365,473
6678,2011-10-10,4,0,10,19,1,1,0,2,0.58,0.5455,0.78,0.0896,69,267,336
6679,2011-10-10,4,0,10,20,1,1,0,1,0.6,0.5909,0.73,0.0,37,188,225
6680,2011-10-10,4,0,10,21,1,1,0,1,0.56,0.5303,0.88,0.0896,27,148,175
6681,2011-10-10,4,0,10,22,1,1,0,1,0.56,0.5303,0.88,0.0896,22,104,126
6682,2011-10-10,4,0,10,23,1,1,0,2,0.54,0.5152,0.88,0.1045,12,63,75
7426,2011-11-11,4,0,11,0,1,5,0,1,0.34,0.3182,0.53,0.2537,10,56,66
7427,2011-11-11,4,0,11,1,1,5,0,1,0.32,0.303,0.57,0.3284,3,16,19
7428,2011-11-11,4,0,11,2,1,5,0,1,0.32,0.2879,0.57,0.2836,1,10,11
7429,2011-11-11,4,0,11,3,1,5,0,1,0.3,0.2879,0.61,0.194,0,6,6
7430,2011-11-11,4,0,11,4,1,5,0,1,0.3,0.2879,0.61,0.194,0,8,8
7431,2011-11-11,4,0,11,5,1,5,0,1,0.3,0.2879,0.49,0.2537,0,13,13
7432,2011-11-11,4,0,11,6,1,5,0,1,0.28,0.2576,0.45,0.3284,0,46,46
7433,2011-11-11,4,0,11,7,1,5,0,1,0.28,0.2727,0.45,0.2537,5,116,121
7434,2011-11-11,4,0,11,8,1,5,0,1,0.3,0.2727,0.42,0.3582,9,249,258
7435,2011-11-11,4,0,11,9,1,5,0,1,0.32,0.2879,0.45,0.4478,15,186,201
7436,2011-11-11,4,0,11,10,1,5,0,1,0.32,0.2727,0.42,0.5522,38,162,200
7437,2011-11-11,4,0,11,11,1,5,0,1,0.34,0.2879,0.42,0.4925,20,150,170
7438,2011-11-11,4,0,11,12,1,5,0,1,0.34,0.2879,0.42,0.4627,41,198,239
7439,2011-11-11,4,0,11,13,1,5,0,1,0.38,0.3939,0.37,0.5522,57,179,236
7440,2011-11-11,4,0,11,14,1,5,0,1,0.38,0.3939,0.37,0.4627,64,183,247
7441,2011-11-11,4,0,11,15,1,5,0,1,0.36,0.3333,0.37,0.4179,29,187,216
7442,2011-11-11,4,0,11,16,1,5,0,1,0.36,0.3333,0.34,0.3284,49,189,238
7443,2011-11-11,4,0,11,17,1,5,0,1,0.34,0.303,0.39,0.3284,24,286,310
7444,2011-11-11,4,0,11,18,1,5,0,1,0.34,0.3182,0.39,0.2537,23,185,208
7445,2011-11-11,4,0,11,19,1,5,0,1,0.32,0.3182,0.39,0.1642,17,182,199
7446,2011-11-11,4,0,11,20,1,5,0,1,0.32,0.3182,0.39,0.194,12,97,109
7447,2011-11-11,4,0,11,21,1,5,0,1,0.3,0.303,0.45,0.1642,4,79,83
7448,2011-11-11,4,0,11,22,1,5,0,1,0.32,0.3182,0.39,0.194,13,78,91
7449,2011-11-11,4,0,11,23,1,5,0,1,0.3,0.3182,0.45,0.0896,6,67,73
7738,2011-11-24,4,0,11,0,1,4,0,1,0.32,0.303,0.57,0.2239,1,22,23
7739,2011-11-24,4,0,11,1,1,4,0,1,0.32,0.2879,0.57,0.4179,1,23,24
7740,2011-11-24,4,0,11,2,1,4,0,1,0.3,0.2879,0.61,0.2836,3,19,22
7741,2011-11-24,4,0,11,3,1,4,0,1,0.28,0.2879,0.65,0.1343,1,4,5
7742,2011-11-24,4,0,11,4,1,4,0,1,0.3,0.3182,0.61,0.0896,1,1,2
7743,2011-11-24,4,0,11,5,1,4,0,1,0.3,0.3182,0.61,0.1045,1,10,11
7744,2011-11-24,4,0,11,6,1,4,0,1,0.3,0.3182,0.61,0.0896,1,5,6
7745,2011-11-24,4,0,11,7,1,4,0,1,0.26,0.2727,0.75,0.1045,9,31,40
7746,2011-11-24,4,0,11,8,1,4,0,1,0.3,0.3182,0.65,0.0896,4,42,46
7747,2011-11-24,4,0,11,9,1,4,0,1,0.34,0.3485,0.61,0.0,13,68,81
7748,2011-11-24,4,0,11,10,1,4,0,1,0.36,0.3788,0.57,0.0,34,64,98
7749,2011-11-24,4,0,11,11,1,4,0,1,0.42,0.4242,0.41,0.2985,52,90,142
7750,2011-11-24,4,0,11,12,1,4,0,1,0.46,0.4545,0.36,0.2239,62,88,150
7751,2011-11-24,4,0,11,13,1,4,0,1,0.48,0.4697,0.33,0.2239,84,91,175
7752,2011-11-24,4,0,11,14,1,4,0,1,0.5,0.4848,0.31,0.2985,74,94,168
7753,2011-11-24,4,0,11,15,1,4,0,1,0.5,0.4848,0.31,0.2537,78,71,149
7754,2011-11-24,4,0,11,16,1,4,0,1,0.5,0.4848,0.34,0.2836,48,66,114
7755,2011-11-24,4,0,11,17,1,4,0,1,0.48,0.4697,0.33,0.1045,34,40,74
7756,2011-11-24,4,0,11,18,1,4,0,1,0.42,0.4242,0.5,0.0896,13,24,37
7757,2011-11-24,4,0,11,19,1,4,0,1,0.4,0.4091,0.54,0.1045,15,13,28
7758,2011-11-24,4,0,11,20,1,4,0,1,0.36,0.3485,0.76,0.1642,14,17,31
7759,2011-11-24,4,0,11,21,1,4,0,1,0.36,0.3485,0.71,0.1642,7,19,26
7760,2011-11-24,4,0,11,22,1,4,0,1,0.36,0.3485,0.71,0.1642,8,14,22
7761,2011-11-24,4,0,11,23,1,4,0,1,0.34,0.3485,0.76,0.1045,2,19,21
8504,2011-12-26,1,0,12,0,1,1,0,1,0.22,0.2273,0.75,0.1642,5,6,11
8505,2011-12-26,1,0,12,1,1,1,0,1,0.28,0.2727,0.56,0.194,3,7,10
8506,2011-12-26,1,0,12,2,1,1,0,1,0.34,0.3182,0.46,0.2239,2,5,7
8507,2011-12-26,1,0,12,4,1,1,0,1,0.34,0.303,0.46,0.2985,0,2,2
8508,2011-12-26,1,0,12,5,1,1,0,1,0.34,0.303,0.42,0.3881,0,4,4
8509,2011-12-26,1,0,12,6,1,1,0,1,0.32,0.303,0.45,0.2836,0,4,4
8510,2011-12-26,1,0,12,7,1,1,0,1,0.32,0.3182,0.45,0.194,2,17,19
8511,2011-12-26,1,0,12,8,1,1,0,1,0.32,0.3333,0.45,0.1343,5,13,18
8512,2011-12-26,1,0,12,9,1,1,0,1,0.34,0.303,0.46,0.2985,24,38,62
8513,2011-12-26,1,0,12,10,1,1,0,1,0.34,0.2879,0.42,0.5224,31,39,70
8514,2011-12-26,1,0,12,11,1,1,0,1,0.34,0.2879,0.46,0.5821,40,51,91
8515,2011-12-26,1,0,12,12,1,1,0,1,0.36,0.3182,0.43,0.4627,34,66,100
8516,2011-12-26,1,0,12,13,1,1,0,1,0.38,0.3939,0.4,0.2985,57,83,140
8517,2011-12-26,1,0,12,14,1,1,0,1,0.38,0.3939,0.4,0.3284,73,80,153
8518,2011-12-26,1,0,12,15,1,1,0,1,0.38,0.3939,0.4,0.2537,26,105,131
8519,2011-12-26,1,0,12,16,1,1,0,1,0.36,0.3333,0.43,0.2836,28,69,97
8520,2011-12-26,1,0,12,17,1,1,0,1,0.34,0.3182,0.46,0.2239,30,67,97
8521,2011-12-26,1,0,12,18,1,1,0,1,0.32,0.3333,0.49,0.0896,21,54,75
8522,2011-12-26,1,0,12,19,1,1,0,1,0.3,0.3182,0.65,0.0896,16,49,65
8523,2011-12-26,1,0,12,20,1,1,0,1,0.3,0.3182,0.56,0.0896,14,42,56
8524,2011-12-26,1,0,12,21,1,1,0,1,0.26,0.303,0.7,0.0,10,39,49
8525,2011-12-26,1,0,12,22,1,1,0,1,0.26,0.303,0.7,0.0,5,22,27
8526,2011-12-26,1,0,12,23,1,1,0,1,0.26,0.2727,0.7,0.1045,4,25,29
8670,2012-01-02,1,1,1,0,1,1,0,1,0.4,0.4091,0.4,0.4627,8,31,39
8671,2012-01-02,1,1,1,1,1,1,0,1,0.36,0.3333,0.43,0.4179,1,11,12
8672,2012-01-02,1,1,1,2,1,1,0,1,0.36,0.3182,0.34,0.4478,1,6,7
8673,2012-01-02,1,1,1,4,1,1,0,1,0.28,0.2576,0.45,0.3284,0,4,4
8674,2012-01-02,1,1,1,5,1,1,0,1,0.28,0.2576,0.45,0.3284,1,3,4
8675,2012-01-02,1,1,1,6,1,1,0,1,0.26,0.2273,0.41,0.3881,0,14,14
8676,2012-01-02,1,1,1,7,1,1,0,1,0.24,0.2121,0.32,0.3881,0,16,16
8677,2012-01-02,1,1,1,8,1,1,0,1,0.24,0.2273,0.35,0.2537,2,51,53
8678,2012-01-02,1,1,1,9,1,1,0,1,0.24,0.2576,0.35,0.0,15,53,68
8679,2012-01-02,1,1,1,10,1,1,0,1,0.26,0.2424,0.35,0.2836,20,89,109
8680,2012-01-02,1,1,1,11,1,1,0,1,0.26,0.2121,0.35,0.4925,33,142,175
8681,2012-01-02,1,1,1,12,1,1,0,1,0.28,0.2727,0.36,0.2537,41,161,202
8682,2012-01-02,1,1,1,13,1,1,0,1,0.3,0.2727,0.36,0.2985,26,150,176
8683,2012-01-02,1,1,1,14,1,1,0,1,0.3,0.2727,0.36,0.4179,10,141,151
8684,2012-01-02,1,1,1,15,1,1,0,1,0.28,0.2424,0.38,0.4478,29,139,168
8685,2012-01-02,1,1,1,16,1,1,0,1,0.26,0.2273,0.35,0.4179,10,144,154
8686,2012-01-02,1,1,1,17,1,1,0,1,0.26,0.2273,0.35,0.3881,17,136,153
8687,2012-01-02,1,1,1,18,1,1,0,1,0.26,0.2424,0.33,0.2537,13,113,126
8688,2012-01-02,1,1,1,19,1,1,0,1,0.24,0.2273,0.38,0.2239,4,89,93
8689,2012-01-02,1,1,1,20,1,1,0,1,0.24,0.2273,0.41,0.2239,5,83,88
8690,2012-01-02,1,1,1,21,1,1,0,2,0.24,0.2121,0.41,0.3284,3,63,66
8691,2012-01-02,1,1,1,22,1,1,0,2,0.22,0.2121,0.44,0.2836,3,36,39
8692,2012-01-02,1,1,1,23,1,1,0,1,0.22,0.2121,0.44,0.2537,2,32,34
9004,2012-01-16,1,1,1,0,1,1,0,1,0.14,0.1515,0.46,0.1343,2,23,25
9005,2012-01-16,1,1,1,1,1,1,0,1,0.14,0.1667,0.43,0.1045,2,18,20
9006,2012-01-16,1,1,1,2,1,1,0,1,0.14,0.2121,0.46,0.0,3,14,17
9007,2012-01-16,1,1,1,3,1,1,0,1,0.12,0.197,0.5,0.0,0,3,3
9008,2012-01-16,1,1,1,4,1,1,0,1,0.12,0.1515,0.58,0.1045,2,6,8
9009,2012-01-16,1,1,1,5,1,1,0,1,0.12,0.1667,0.54,0.0896,1,5,6
9010,2012-01-16,1,1,1,6,1,1,0,1,0.1,0.1364,0.54,0.0896,0,13,13
9011,2012-01-16,1,1,1,7,1,1,0,1,0.1,0.1364,0.54,0.1045,5,28,33
9012,2012-01-16,1,1,1,8,1,1,0,1,0.1,0.1212,0.58,0.1642,3,75,78
9013,2012-01-16,1,1,1,9,1,1,0,1,0.1,0.1212,0.58,0.1642,7,89,96
9014,2012-01-16,1,1,1,10,1,1,0,2,0.14,0.1364,0.59,0.194,19,107,126
9015,2012-01-16,1,1,1,11,1,1,0,1,0.16,0.1515,0.59,0.2537,21,158,179
9016,2012-01-16,1,1,1,12,1,1,0,1,0.2,0.1818,0.55,0.3284,20,165,185
9017,2012-01-16,1,1,1,13,1,1,0,2,0.24,0.197,0.41,0.4179,26,202,228
9018,2012-01-16,1,1,1,14,1,1,0,1,0.24,0.2121,0.44,0.3881,23,158,181
9019,2012-01-16,1,1,1,15,1,1,0,1,0.26,0.2121,0.44,0.4478,17,175,192
9020,2012-01-16,1,1,1,16,1,1,0,1,0.26,0.2273,0.44,0.3582,22,158,180
9021,2012-01-16,1,1,1,17,1,1,0,1,0.26,0.2273,0.48,0.3284,19,174,193
